Channel_Name,Channel_Id,Description,Independent,Archetypes
That Little Puff,UClFN9LShD_Pv0wnSeUKbUZw,"That Little Puff appears to be an independent YouTube channel. Without specific content details, it's challenging to provide a detailed description. The channel's content could include a variety of topics based on the creator's interests.",Yes,Variety / General Entertainment
ToyPuddingTV,UCKqx9r4mrFglauNBJc1L_eg,"ToyPuddingTV is a corporate YouTube channel associated with the children's entertainment brand. The channel features animated videos, toy unboxings, and educational content, creating an enjoyable and safe space for young viewers.",No,Corporate / Non-Youtuber
Raffy Tulfo in Action,UCxhygwqQ1ZMoBGQM2yEcNug,"Raffy Tulfo in Action is a corporate YouTube channel associated with the Philippine radio and television host Raffy Tulfo. The channel features segments from the public service show, addressing and resolving various issues and conflicts.",No,Corporate / Non-Youtuber
enchufetv,UCoGDh1Xa3kUCpok24JN5DKA,"enchufetv is an independent Ecuadorian YouTube channel known for its comedic sketches, parodies, and humorous content. With a focus on satire and social commentary, enchufetv entertains a wide audience with its unique brand of humor.",Yes,Variety / General Entertainment
WORLDSTARHIPHOP,UC-yXuc1__OzjwpsJPlxYUCQ,"WORLDSTARHIPHOP is a corporate YouTube channel representing the popular hip-hop and entertainment website. The channel features music videos, exclusive content, and highlights from the world of hip-hop, providing a platform for fans to discover new music.",No,Corporate / Non-Youtuber
America's Got Talent,UCUtZaxDF3hD5VK4xRYFBePQ,"America's Got Talent's official YouTube channel is a corporate account representing the popular talent competition show. The channel features highlights, performances, and behind-the-scenes content from the show, showcasing a diverse range of talented individuals.",No,Corporate / Non-Youtuber
The Lallantop,UCx8Z14PpntdaxCt2hakbQLQ,"The Lallantop is an independent Indian YouTube channel known for its news analysis, commentary, and informative content. With a focus on current affairs and trending topics, The Lallantop engages its audience with insightful discussions.",Yes,Variety / General Entertainment
Tilak,UCFMFB7_Ik8jBnCwSuh295wA,"Tilak appears to be an independent YouTube channel. Without specific content details, it's challenging to provide a detailed description. The channel's content could include a variety of topics based on the creator's interests.",Yes,Others
Smosh,UCY30JRSgfhYXA6i6xX1erWg,"Smosh is an independent YouTube channel known for its comedic sketches, parodies, and humorous content. With a long-standing presence on YouTube, Smosh has become a prominent name in online comedy, entertaining audiences with its diverse range of videos.",Yes,Comedy / Humor 
Beyoncé,UC9zX2xZIJ4cnwRsgBpHGvMg,"Beyoncé's official YouTube channel is a corporate account representing the iconic American singer, songwriter, and performer. The channel features Beyoncé's music videos, live performances, and exclusive content, showcasing her influence in the music industry.",No,Corporate / Non-Youtuber
Diana and Roma HIN,UC5ma-WCc8jNCV0WyRnfbHTg,"Diana and Roma HIN appears to be an independent YouTube channel. Without specific content details, it's challenging to provide a detailed description. The channel likely features content related to the creators Diana and Roma.",Yes,Kids / Family
BB Ki Vines,UCqwUrj10mAEsqezcItqvwEw,"BB Ki Vines is an independent Indian YouTube channel created by Bhuvan Bam. Known for its comedic sketches, monologues, and relatable humor, BB Ki Vines has gained widespread popularity, making Bhuvan Bam one of India's leading digital content creators.",Yes,Variety / General Entertainment
Nicki Minaj,UC0VOyT2OCBKdQhF3BAbZ-1g,"Nicki Minaj's official YouTube channel is a corporate account representing the Trinidadian-American rapper, singer, and songwriter. The channel features Nicki Minaj's music videos, performances, and exclusive content, providing fans with a comprehensive collection of her work.",No,Corporate / Non-Youtuber
ABPLIVE,UCt4t-jeY85JegMlZ-E5UWtA,"ABPLIVE is a corporate YouTube channel associated with ABP News, an Indian news channel. The channel features news updates, debates, and current affairs content, offering viewers a platform for reliable and timely news coverage.",No,Corporate / Non-Youtuber
Tsuriki Show,UCymK_3BWUcoYVVf5D_GmACQ,"Tsuriki Show appears to be an independent YouTube channel. Without specific content details, it's challenging to provide a detailed description. The channel's content could include a variety of topics based on the creators' interests.",Yes,Comedy / Humor 
Marília Mendonça,UCwfEOn0O1DWcyTgzVVu28ig,"Marília Mendonça's official YouTube channel is a corporate account representing the Brazilian singer and songwriter. The channel features Marília Mendonça's music videos, live performances, and exclusive content, showcasing her success in the Brazilian music scene.",No,Corporate / Non-Youtuber
1MILLION Dance Studio,UCw8ZhLPdQ0u_Y-TLKd61hGA,"1MILLION Dance Studio is a corporate YouTube channel associated with the South Korean dance studio. The channel features choreography videos, dance covers, and tutorials, attracting a global audience interested in dance and K-pop culture.",No,Corporate / Non-Youtuber
David Guetta,UC1l7wYrva1qCH-wgqcHaaRg,"David Guetta's official YouTube channel is a corporate account representing the French DJ and music producer. The channel features David Guetta's music videos, live performances, and exclusive content, showcasing his contributions to the electronic dance music (EDM) scene.",No,Corporate / Non-Youtuber
Topper Guild,UCPuEAY09CtdTzFNWuqVZgDw,"Topper Guild appears to be an independent YouTube channel. Without specific content details, it's challenging to provide a detailed description. The channel's content could include a variety of topics based on the creators' interests.",Yes,Variety / General Entertainment
Post Malone,UCN1hnUccO4FD5WfM7ithXaw,"Post Malone's official YouTube channel is a corporate account representing the American rapper, singer, and songwriter. The channel features Post Malone's music videos, live performances, and exclusive content, offering fans a glimpse into his diverse musical style.",No,Corporate / Non-Youtuber
Azhan5star,UCY-at5vWhDoMJ8y0kIPFwDA,"Azhan5star appears to be an independent YouTube channel. Without specific content details, it's challenging to provide a detailed description. The channel's content could include a variety of topics based on the creator's interests.",Yes,Kids / Family
ZHC,UCiJUp_NBW2D_UMQIvq2nlPg,"ZHC is an independent YouTube channel run by the artist Zach Hsieh. Known for art challenges, customizing items, and philanthropy, ZHC's channel engages viewers with creative and entertaining content.",Yes,DIY / Crafts
WB Kids,UC9trsD1jCTXXtN3xIOIU8gg,"WB Kids is a corporate YouTube channel associated with Warner Bros. Entertainment. The channel features animated content from popular Warner Bros. franchises, including Looney Tunes, Scooby-Doo, and more, catering to a young audience.",No,Corporate / Non-Youtuber
VanossGaming,UCKqH_9mk1waLgBiL2vT5b9g,"VanossGaming is an independent gaming YouTube channel run by Evan Fong. Known for his comedic gaming commentary, Let's Plays, and collaborations with other gamers, VanossGaming entertains a wide audience in the gaming community.",Yes,Gaming
LosPolinesios,UCwJrDbRJBGvIdYrpBMNtCIg,"LosPolinesios is an independent Mexican YouTube channel created by the Polinesios siblings. Known for vlogs, challenges, and family-friendly content, LosPolinesios has become one of the most popular YouTube channels in the Spanish-speaking world.",Yes,Kids / Family
Sagawa /さがわ,UCWaOde99oeUVoXbIj3SNu9g,"Sagawa /さがわ appears to be an independent YouTube channel. Without specific content details, it's challenging to provide a detailed description. The channel's content could include a variety of topics based on the creator's interests.",Yes,Comedy / Humor 
Dan Rhodes,UC6D1L2vxEAg_Vi0JSxMBDgA,"Dan Rhodes appears to be an independent YouTube channel. Without specific content details, it's challenging to provide a detailed description. The channel's content could include a variety of topics based on the creator's interests.",Yes,Variety / General Entertainment
Ishaan Ali 11,UCN4NflpHqLeHQZ91kTUVCBw,"Ishaan Ali 11 appears to be an independent YouTube channel. Without specific content details, it's challenging to provide a detailed description. The channel's content could include a variety of topics based on the creator's interests.",Yes,Variety / General Entertainment
unknown boy varun,UC4DLvb5xZ9OLcVM1KC_R97g,"unknown boy varun appears to be an independent YouTube channel. Without specific content details, it's challenging to provide a detailed description. The channel's content could include a variety of topics based on the creator's interests.",Yes,Music / Performance
Coldplay,UCRzzwLpLiUNIs6YOPe33eMg,"Coldplay's official YouTube channel is a corporate account representing the British rock band. The channel features Coldplay's music videos, live performances, and exclusive content, showcasing their impact on the global music scene.",No,Corporate / Non-Youtuber
Chris Brown,UCm1dsgJNnhaLkY3uAdqN4mA,"Chris Brown's official YouTube channel is a corporate account representing the American singer, songwriter, and dancer. The channel features Chris Brown's music videos, live performances, and exclusive content, offering fans a comprehensive collection of his work.",No,Corporate / Non-Youtuber
Anuel AA,UCRI7hheejBbWS6etTNwMT0g,"Anuel AA's official YouTube channel is a corporate account representing the Puerto Rican rapper and singer. The channel features Anuel AA's music videos, collaborations, and exclusive content, showcasing his prominence in the Latin music industry.",No,Corporate / Non-Youtuber
Rans Entertainment,UCvA9_f5Lwk-poMynabtrZPg,"Rans Entertainment appears to be an independent YouTube channel. Without specific content details, it's challenging to provide a detailed description. The channel's content could include a variety of topics based on the creators' interests.",Yes,Vlogs / Lifestyle
TaylorSwiftVEVO,UCANLZYMidaCbLQFWXBC95Jg,"TaylorSwiftVEVO is a corporate YouTube channel associated with the American singer-songwriter Taylor Swift. The channel features Taylor Swift's music videos, live performances, and exclusive content, offering fans a visual experience of her musical journey.",No,Corporate / Non-Youtuber
TRANS7 OFFICIAL,UC24_Z2L-8Ki183AI9zJJzNQ,"TRANS7 OFFICIAL is a corporate YouTube channel associated with the Indonesian television network TRANS7. The channel features a variety of shows, programs, and exclusive content, providing viewers with entertainment and information.",No,Corporate / Non-Youtuber
